XR_004936710.1	Gm26206	Gm26206
XM_006503365.4	Ccdc163	Ccdc163
XM_030253738.2	Ccdc163	Ccdc163
NM_001356315.1	Ccdc163	Ccdc163
NM_026714.3	Ccdc163	Ccdc163
XM_036164390.1	Ccdc163	Ccdc163
XM_030253443.2	Tesk2	Tesk2
NM_146151.4	Tesk2	Tesk2
XM_006503008.5	Tesk2	Tesk2
NR_185029.1	Toe1	Toe1
NR_185028.1	Toe1	Toe1
NR_185030.1	Toe1	Toe1
NM_001419186.1	Toe1	Toe1
NM_026654.3	Toe1	Toe1
XR_004941959.1	Mutyh	Mutyh
XR_004941960.1	Mutyh	Mutyh
XM_030253774.2	Mutyh	Mutyh
XM_006503392.4	Mutyh	Mutyh
NM_001159581.1	Mutyh	Mutyh
NM_133250.2	Mutyh	Mutyh
XM_030253775.2	Mutyh	Mutyh
XM_036164418.1	Mutyh	Mutyh
XM_036164419.1	Mutyh	Mutyh
NM_001316747.1	Mutyh	Mutyh
NM_146256.3	Hpdl	Hpdl
XR_376562.4	Gm12996	Gm12996
XR_104879.5	Gm12996	Gm12996
XM_036164501.1	Zswim5	Zswim5
NM_001029912.3	Zswim5	Zswim5
XR_004942405.1	Gm22092	Gm22092
NM_001425871.1	Urod	Urod
NM_001425868.1	Urod	Urod
NM_001425872.1	Urod	Urod
NM_001425870.1	Urod	Urod
NM_001425869.1	Urod	Urod
NM_001425873.1	Urod	Urod
NM_001425867.1	Urod	Urod
NM_001425865.1	Urod	Urod
NM_001425866.1	Urod	Urod
NM_009478.5	Urod	Urod
NM_001425864.1	Urod	Urod
XR_001784215.3	Hectd3	Hectd3
NM_175244.4	Hectd3	Hectd3
XM_006502649.3	Eif2b3	Eif2b3
NM_001111277.2	Eif2b3	Eif2b3
NM_001355225.1	Eif2b3	Eif2b3
NM_175135.5	Eif2b3	Eif2b3
NM_008958.3	Ptch2	Ptch2
NM_001312903.1	Ptch2	Ptch2
XM_036164557.1	Btbd19	Btbd19
XM_036164556.1	Btbd19	Btbd19
XM_036164552.1	Btbd19	Btbd19
XM_036164553.1	Btbd19	Btbd19
XM_036164554.1	Btbd19	Btbd19
XM_036164558.1	Btbd19	Btbd19
XM_036164555.1	Btbd19	Btbd19
NM_001384196.1	Btbd19	Btbd19
XM_006503100.5	Dynlt4	Dynlt4
XM_006503098.5	Dynlt4	Dynlt4
XM_006503099.5	Dynlt4	Dynlt4
XM_006503097.5	Dynlt4	Dynlt4
NM_175030.2	Dynlt4	Dynlt4
XR_004941805.1	Plk3	Plk3
NM_001313916.1	Plk3	Plk3
NM_013807.3	Plk3	Plk3
XM_036163623.1	Plk3	Plk3
NM_009098.2	Rps8	Rps8
XR_004942328.1	Gm22980	Gm22980
NR_028524.1	Snord38a	Snord38a
XR_004942330.1	Gm26330	Gm26330
NR_030704.1	Snord55	Snord55
NM_001290662.1	Kif2c	Kif2c
NM_134471.4	Kif2c	Kif2c
XM_011240621.2	Kif2c	Kif2c
XM_006503435.4	Kif2c	Kif2c
XM_017320411.2	Kif2c	Kif2c
XM_030253838.2	Kif2c	Kif2c
XM_011240620.3	Kif2c	Kif2c
XM_011240622.3	Kif2c	Kif2c
XM_006503433.3	Kif2c	Kif2c
XR_004942402.1	Gm25099	Gm25099
XR_004942401.1	Gm23143	Gm23143
XR_004942400.1	Gm23287	Gm23287
XR_867885.4	Armh1	Armh1
XM_006503206.4	Armh1	Armh1
XM_006503207.5	Armh1	Armh1
XM_030253635.2	Armh1	Armh1
NM_001145637.1	Armh1	Armh1
NM_001285812.1	Tmem53	Tmem53
NM_001285815.1	Tmem53	Tmem53
NM_001285814.1	Tmem53	Tmem53
NM_026837.3	Tmem53	Tmem53
NM_001285816.1	Tmem53	Tmem53
XM_030253755.2	Tmem53	Tmem53
NM_029589.1	Tmem53	Tmem53
XR_004941948.1	Rnf220	Rnf220
NM_025739.3	Rnf220	Rnf220
XM_006503285.3	Rnf220	Rnf220
XM_036164349.1	Rnf220	Rnf220
XM_036164348.1	Rnf220	Rnf220
XM_036164350.1	Rnf220	Rnf220
XM_011240588.3	Rnf220	Rnf220
XM_036164347.1	Rnf220	Rnf220
XM_036164346.1	Rnf220	Rnf220
XM_011240587.4	Rnf220	Rnf220
XM_036164351.1	Rnf220	Rnf220
NM_001310729.1	Rnf220	Rnf220
XM_011240589.4	Rnf220	Rnf220
NM_001310730.1	Rnf220	Rnf220
NM_001310731.1	Rnf220	Rnf220
XM_017320356.3	Rnf220	Rnf220
XM_030253704.2	Rnf220	Rnf220
XM_030253703.2	Rnf220	Rnf220
XM_017320357.3	Rnf220	Rnf220
XR_004942165.1	Gm12843	Gm12843
XR_004942169.1	Gm12843	Gm12843
XR_004942166.1	Gm12843	Gm12843
XR_004942172.1	Gm12843	Gm12843
XR_004942168.1	Gm12843	Gm12843
XR_004942167.1	Gm12843	Gm12843
XR_003955258.2	Gm12843	Gm12843
XR_003955264.2	Gm12843	Gm12843
XR_004942170.1	Gm12843	Gm12843
XR_004942171.1	Gm12843	Gm12843
XR_868035.2	Gm40231	Gm40231
XR_001784410.2	Gm12828	Gm12828
XR_868033.3	Gm12827	Gm12827
XR_868034.3	Gm12827	Gm12827
XR_376563.4	Gm12827	Gm12827
XR_004942164.1	Gm12827	Gm12827
XR_868031.3	Gm12827	Gm12827
XR_001784411.2	Gm34669	Gm34669
XR_376573.3	Gm34669	Gm34669
XR_376572.2	Gm34669	Gm34669
XR_003954874.2	Eri3	Eri3
XR_004941810.1	Eri3	Eri3
XR_003954875.2	Eri3	Eri3
XR_003954876.2	Eri3	Eri3
XM_017319962.3	Eri3	Eri3
XM_030253198.2	Eri3	Eri3
XM_036163665.1	Eri3	Eri3
XM_030253202.1	Eri3	Eri3
XM_017319971.2	Eri3	Eri3
XM_036163669.1	Eri3	Eri3
XM_017319970.3	Eri3	Eri3
XM_017319961.3	Eri3	Eri3
NM_001356404.2	Eri3	Eri3
NM_001285901.2	Eri3	Eri3
NM_001285902.2	Eri3	Eri3
XM_030253200.1	Eri3	Eri3
XM_017319964.3	Eri3	Eri3
XM_036163663.1	Eri3	Eri3
XM_017319972.3	Eri3	Eri3
XM_017319965.3	Eri3	Eri3
XM_036163670.1	Eri3	Eri3
XM_011240437.4	Eri3	Eri3
XM_030253195.2	Eri3	Eri3
XM_017319960.3	Eri3	Eri3
XM_036163661.1	Eri3	Eri3
XM_036163664.1	Eri3	Eri3
XM_036163671.1	Eri3	Eri3
XM_036163667.1	Eri3	Eri3
XM_036163668.1	Eri3	Eri3
XM_030253209.1	Eri3	Eri3
XM_036163666.1	Eri3	Eri3
NM_001356405.1	Eri3	Eri3
XM_017319966.3	Eri3	Eri3
NM_001379280.1	Eri3	Eri3
NM_001285899.2	Eri3	Eri3
NM_001379279.1	Eri3	Eri3
NM_080469.5	Eri3	Eri3
NM_001379284.1	Eri3	Eri3
NM_001379282.1	Eri3	Eri3
NM_001379281.1	Eri3	Eri3
NM_001379283.1	Eri3	Eri3
NM_001379285.1	Eri3	Eri3
XM_030253208.1	Eri3	Eri3
XM_036163662.1	Eri3	Eri3
XM_017319967.2	Eri3	Eri3
NM_023178.3	Dmap1	Dmap1
NM_001419063.1	Dmap1	Dmap1
NM_001419062.1	Dmap1	Dmap1
NM_001419061.1	Dmap1	Dmap1
NR_151608.1	Gm34746	Gm34746
NM_029416.2	Klf17	Klf17
XR_868042.1	Gm40232	Gm40232
XR_867807.4	Slc6a9	Slc6a9
XM_036163684.1	Slc6a9	Slc6a9
NM_008135.4	Slc6a9	Slc6a9
NM_001369016.1	Slc6a9	Slc6a9
NM_001355175.2	Slc6a9	Slc6a9
NM_001369017.1	Slc6a9	Slc6a9
XM_006503208.3	Ccdc24	Ccdc24
XM_006503209.2	Ccdc24	Ccdc24
XM_030253636.2	Ccdc24	Ccdc24
NM_001034876.1	Ccdc24	Ccdc24
XR_867887.3	B4galt2	B4galt2
NR_189666.1	B4galt2	B4galt2
NR_045570.2	B4galt2	B4galt2
XM_036164238.1	B4galt2	B4galt2
XM_011240575.4	B4galt2	B4galt2
NM_017377.6	B4galt2	B4galt2
NM_001426138.1	B4galt2	B4galt2
NM_001253381.2	B4galt2	B4galt2
XR_868043.3	Gm40233	Gm40233
NR_168719.1	Gm12841	Gm12841
NR_185062.1	Atp6v0b	Atp6v0b
NR_185061.1	Atp6v0b	Atp6v0b
XM_030253094.2	Atp6v0b	Atp6v0b
NM_033617.4	Atp6v0b	Atp6v0b
NM_001419342.1	Atp6v0b	Atp6v0b
NM_001419161.1	Dph2	Dph2
NM_026344.4	Dph2	Dph2
NR_185081.1	Ipo13	Ipo13
XR_003954914.2	Ipo13	Ipo13
NM_001419414.1	Ipo13	Ipo13
NM_146152.3	Ipo13	Ipo13
XM_017320147.3	Ipo13	Ipo13
XM_006502694.4	Artn	Artn
XM_030253105.1	Artn	Artn
XM_006502693.3	Artn	Artn
XM_006502691.3	Artn	Artn
XM_006502692.3	Artn	Artn
XM_006502690.3	Artn	Artn
XM_011240419.2	Artn	Artn
NM_001284191.1	Artn	Artn
NM_001284193.1	Artn	Artn
NM_001284192.1	Artn	Artn
NM_009711.4	Artn	Artn
XR_004941855.1	St3gal3	St3gal3
XR_376302.4	St3gal3	St3gal3
XR_376301.3	St3gal3	St3gal3
XM_006502898.4	St3gal3	St3gal3
XM_006502895.1	St3gal3	St3gal3
XM_036163930.1	St3gal3	St3gal3
XM_036163931.1	St3gal3	St3gal3
XM_030253375.1	St3gal3	St3gal3
XM_030253374.2	St3gal3	St3gal3
XM_006502892.3	St3gal3	St3gal3
XM_006502894.2	St3gal3	St3gal3
XM_030253373.1	St3gal3	St3gal3
XM_030253372.1	St3gal3	St3gal3
XM_006502891.3	St3gal3	St3gal3
XM_006502897.3	St3gal3	St3gal3
XM_006502893.3	St3gal3	St3gal3
XM_006502896.3	St3gal3	St3gal3
XM_006502890.3	St3gal3	St3gal3
NM_001285521.1	St3gal3	St3gal3
NM_001161774.2	St3gal3	St3gal3
NM_001285520.1	St3gal3	St3gal3
NM_009176.5	St3gal3	St3gal3
XM_036163932.1	St3gal3	St3gal3
XM_006502899.3	St3gal3	St3gal3
NR_166452.1	9530034E10Rik	9530034E10Rik
XR_004942174.1	Gm54253	Gm54253
NR_189679.1	Kdm4a	Kdm4a
NR_189680.1	Kdm4a	Kdm4a
NM_001426257.1	Kdm4a	Kdm4a
NM_001426259.1	Kdm4a	Kdm4a
NM_001161823.2	Kdm4a	Kdm4a
NM_001426256.1	Kdm4a	Kdm4a
NM_001426255.1	Kdm4a	Kdm4a
NM_172382.3	Kdm4a	Kdm4a
NM_001426258.1	Kdm4a	Kdm4a
XR_004942173.1	Gm54252	Gm54252
XM_030253363.1	Ptprf	Ptprf
XM_006502872.2	Ptprf	Ptprf
XM_030253360.1	Ptprf	Ptprf
XM_036163892.1	Ptprf	Ptprf
XM_030253362.1	Ptprf	Ptprf
XM_036163881.1	Ptprf	Ptprf
XM_030253361.2	Ptprf	Ptprf
XM_036163889.1	Ptprf	Ptprf
XM_036163886.1	Ptprf	Ptprf
XM_006502868.2	Ptprf	Ptprf
XM_036163887.1	Ptprf	Ptprf
XM_036163884.1	Ptprf	Ptprf
XM_006502869.2	Ptprf	Ptprf
XM_006502865.2	Ptprf	Ptprf
NM_011213.2	Ptprf	Ptprf
XM_036163882.1	Ptprf	Ptprf
XM_036163879.1	Ptprf	Ptprf
XM_036163891.1	Ptprf	Ptprf
XM_006502876.2	Ptprf	Ptprf
XM_036163880.1	Ptprf	Ptprf
XM_006502871.2	Ptprf	Ptprf
XM_036163888.1	Ptprf	Ptprf
XM_006502875.2	Ptprf	Ptprf
XM_006502870.2	Ptprf	Ptprf
XM_006502866.2	Ptprf	Ptprf
XM_036163885.1	Ptprf	Ptprf
XM_006502874.2	Ptprf	Ptprf
XM_006502867.2	Ptprf	Ptprf
XM_006502864.2	Ptprf	Ptprf
XM_036163890.1	Ptprf	Ptprf
XM_036163883.1	Ptprf	Ptprf
XM_036163896.1	Ptprf	Ptprf
XM_036163895.1	Ptprf	Ptprf
XM_036163893.1	Ptprf	Ptprf
XM_036163894.1	Ptprf	Ptprf
NR_106085.1	Mir7226	Mir7226
unassigned_transcript_572	Mir7226	Mir7226
unassigned_transcript_573	Mir7226	Mir7226
XR_868049.1	Gm40235	Gm40235
XR_003955266.1	Gm52705	Gm52705
NR_003946.2	Hyi	Hyi
XR_867847.3	Szt2	Szt2
XR_003954918.2	Szt2	Szt2
NM_198170.4	Szt2	Szt2
XM_036164036.1	Szt2	Szt2
XM_006503491.5	Med8	Med8
NM_173719.3	Med8	Med8
NM_020000.3	Med8	Med8
NM_001290688.1	Med8	Med8
XM_006503492.4	Med8	Med8
XM_011240659.4	Med8	Med8
NM_001424988.1	Elovl1	Elovl1
NM_019422.4	Elovl1	Elovl1
NM_001424989.1	Elovl1	Elovl1
NM_001039175.3	Elovl1	Elovl1
NM_001039176.3	Elovl1	Elovl1
NM_001424987.1	Elovl1	Elovl1
NM_023223.2	Cdc20	Cdc20
XR_004941829.1	Mpl	Mpl
NM_001285496.2	Mpl	Mpl
NM_010823.4	Mpl	Mpl
NM_001285497.2	Mpl	Mpl
NM_001122949.3	Mpl	Mpl
XM_011240468.3	Mpl	Mpl
NM_011587.2	Tie1	Tie1
NM_001419078.1	2610528J11Rik	2610528J11Rik
NM_025572.3	2610528J11Rik	2610528J11Rik
XM_017320149.3	Tmem125	Tmem125
XM_006503013.5	Tmem125	Tmem125
XM_011240496.4	Tmem125	Tmem125
NM_172383.3	Tmem125	Tmem125
XM_006503014.4	Tmem125	Tmem125
XR_001784414.1	Gm40237	Gm40237
XR_001784415.1	Gm40237	Gm40237
XR_003955005.2	Cfap57	Cfap57
XM_006503371.4	Cfap57	Cfap57
XM_036164394.1	Cfap57	Cfap57
XM_036164393.1	Cfap57	Cfap57
NM_026789.5	Cfap57	Cfap57
XR_004942176.1	Gm52677	Gm52677
XR_004942175.1	Gm52677	Gm52677
NM_026932.4	Ebna1bp2	Ebna1bp2
NR_029469.1	D4Ertd617e	D4Ertd617e
NR_166633.1	Gm12853	Gm12853
NM_146315.2	Or13p10	Or13p10
XM_006503116.3	Or13p4	Or13p4
NM_146713.1	Or13p4	Or13p4
NM_146853.2	Or13p3	Or13p3
XM_017320231.1	Or13p8	Or13p8
NM_146304.2	Or13p8	Or13p8
NM_146852.2	Or13p5	Or13p5
XM_006503115.2	Or10ak14	Or10ak14
XM_006503114.2	Or10ak14	Or10ak14
NM_207152.2	Or10ak14	Or10ak14
NM_146309.3	Or10ak13	Or10ak13
NM_207703.1	Or10ak12	Or10ak12
NM_207157.2	Or10ak11	Or10ak11
NM_001011856.2	Or10ak9	Or10ak9
NM_146334.2	Or10ak16	Or10ak16
XR_868061.2	Gm12865	Gm12865
XR_868060.2	Gm12865	Gm12865
XR_868059.2	Gm12865	Gm12865
XR_868062.2	Gm12865	Gm12865
NM_001011870.2	Or10ak8	Or10ak8
NM_146399.2	Or10ak7	Or10ak7
NR_137285.1	Gm12863	Gm12863
NM_133892.4	Lao1	Lao1
XR_004942177.1	Gm54254	Gm54254
XR_868064.2	Lincred2	Lincred2
XR_376588.3	Lincred2	Lincred2
XR_868065.2	Lincred2	Lincred2
XR_376589.3	Lincred2	Lincred2
NR_131914.1	Gm12866	Gm12866
XR_868067.2	Gm35510	Gm35510
XR_376590.3	Gm35510	Gm35510
XR_003955269.2	Gm52706	Gm52706
NM_001424864.1	Slc2a1	Slc2a1
NM_011400.4	Slc2a1	Slc2a1
NR_165264.1	Gm12867	Gm12867
XM_036163923.1	Zfp691	Zfp691
NM_001145936.1	Zfp691	Zfp691
NM_001145935.1	Zfp691	Zfp691
NM_183140.3	Zfp691	Zfp691
NR_160957.1	Ermap	Ermap
XR_003954955.2	Ermap	Ermap
XR_003954956.2	Ermap	Ermap
XR_376323.4	Ermap	Ermap
XR_867881.3	Ermap	Ermap
XM_006503138.5	Ermap	Ermap
XM_006503140.4	Ermap	Ermap
XM_006503141.4	Ermap	Ermap
XM_006503139.4	Ermap	Ermap
XM_030253591.1	Ermap	Ermap
NM_001369066.1	Ermap	Ermap
NM_013848.3	Ermap	Ermap
XM_006503143.4	Ermap	Ermap
XM_006503144.5	Ermap	Ermap
XM_017320248.3	Ermap	Ermap
XM_011240548.3	Ermap	Ermap
NM_024462.2	Svbp	Svbp
NM_001038998.2	Svbp	Svbp
XM_030253868.1	Tmem269	Tmem269
XM_006503456.2	Tmem269	Tmem269
NM_029198.3	Tmem269	Tmem269
XM_006503455.3	Tmem269	Tmem269
XM_036164511.1	Tmem269	Tmem269
XM_011240628.4	Tmem269	Tmem269
NM_001425763.1	AU022252	AU022252
NM_001012400.3	AU022252	AU022252
NR_149723.1	P3h1	P3h1
NM_001286148.1	P3h1	P3h1
NM_019783.2	P3h1	P3h1
NM_019782.3	P3h1	P3h1
NM_001042411.1	P3h1	P3h1
NR_176038.1	Gm12927	Gm12927
NM_153105.7	Cldn19	Cldn19
NM_001038590.1	Cldn19	Cldn19
NM_011732.2	Ybx1	Ybx1
XM_030253407.1	Ybx1	Ybx1
XM_006502934.4	Ybx1	Ybx1
XM_006502933.4	Ybx1	Ybx1
NM_028677.4	Ppih	Ppih
NM_001110129.1	Ppih	Ppih
NM_001110130.1	Ppih	Ppih
XR_004941995.1	Ccdc30	Ccdc30
XR_004941994.1	Ccdc30	Ccdc30
XR_004941993.1	Ccdc30	Ccdc30
XR_004941992.1	Ccdc30	Ccdc30
XR_003955029.2	Ccdc30	Ccdc30
XM_030253833.1	Ccdc30	Ccdc30
NM_001270435.1	Ccdc30	Ccdc30
NM_029286.2	Ccdc30	Ccdc30
NM_028506.1	Ccdc30	Ccdc30
NM_001270446.1	Ccdc30	Ccdc30
XM_036164484.1	Ccdc30	Ccdc30
XM_036164485.1	Ccdc30	Ccdc30
XM_036164486.1	Ccdc30	Ccdc30
XM_036164488.1	Ccdc30	Ccdc30
XM_036164487.1	Ccdc30	Ccdc30
NM_028857.1	Ccdc30	Ccdc30
NM_028698.1	Ccdc30	Ccdc30
XR_003954862.2	Ppcs	Ppcs
NM_001355214.1	Ppcs	Ppcs
NM_026494.4	Ppcs	Ppcs
XM_011240385.2	Ppcs	Ppcs
NM_001014900.2	Zmynd12	Zmynd12
XM_006503191.4	Zmynd12	Zmynd12
NM_177572.4	Rimkla	Rimkla
NM_001004178.1	Frg2f1	Frg2f1
NM_172699.3	Foxj3	Foxj3
NM_001290696.1	Foxj3	Foxj3
XM_006503017.5	Foxj3	Foxj3
XM_036164038.1	Foxj3	Foxj3
XM_036164039.1	Foxj3	Foxj3
NM_001357177.1	Foxj3	Foxj3
NM_008190.1	Guca2a	Guca2a
NM_008191.2	Guca2b	Guca2b
XR_868074.4	Gm35761	Gm35761
XR_868075.4	Gm35761	Gm35761
XR_868071.4	Gm35761	Gm35761
XR_868073.4	Gm35761	Gm35761
XR_868072.4	Gm35761	Gm35761
XR_868069.4	Gm35761	Gm35761
XR_868070.4	Gm35761	Gm35761
XR_376600.2	Gm35957	Gm35957
XR_867814.3	Hivep3	Hivep3
XR_003954883.2	Hivep3	Hivep3
XR_001784097.2	Hivep3	Hivep3
XR_003954884.2	Hivep3	Hivep3
XR_004941818.1	Hivep3	Hivep3
XM_006502817.4	Hivep3	Hivep3
XM_036163749.1	Hivep3	Hivep3
XM_011240452.3	Hivep3	Hivep3
XM_006502815.4	Hivep3	Hivep3
NM_010657.3	Hivep3	Hivep3
XM_011240453.3	Hivep3	Hivep3
XR_003955100.2	Gm38632	Gm38632
XR_376605.4	Gm36215	Gm36215
XR_868084.2	Gm36134	Gm36134
XR_868083.2	Gm36134	Gm36134
XR_868082.2	Gm36134	Gm36134
NM_007902.3	Edn2	Edn2
XR_376602.4	Gm36073	Gm36073
XR_868081.1	Gm36013	Gm36013
XR_376601.1	Gm36013	Gm36013
NM_194060.1	Foxo6	Foxo6
XM_011240558.4	Foxo6	Foxo6
XR_004942178.1	Gm52678	Gm52678
XR_003955101.2	Gm52678	Gm52678
NR_166471.1	Foxo6os	Foxo6os
XR_004942179.1	Gm36499	Gm36499
XR_376607.3	Gm36499	Gm36499
XR_868086.1	Gm36574	Gm36574
XR_001784418.1	Gm36574	Gm36574
XR_001784419.1	Gm36574	Gm36574
XR_001784420.1	Gm36574	Gm36574
XR_868087.1	Gm36574	Gm36574
XR_001784416.1	Gm36574	Gm36574
XR_001784417.1	Gm36574	Gm36574
XR_001784421.1	Gm36574	Gm36574
XR_004941919.1	Scmh1	Scmh1
XR_003954960.2	Scmh1	Scmh1
NR_175812.1	Scmh1	Scmh1
XM_006503149.3	Scmh1	Scmh1
NM_001379185.1	Scmh1	Scmh1
NM_001404090.1	Scmh1	Scmh1
NM_001379186.1	Scmh1	Scmh1
NM_013883.3	Scmh1	Scmh1
NM_001159630.2	Scmh1	Scmh1
NM_001379184.1	Scmh1	Scmh1
NM_001404102.1	Scmh1	Scmh1
NM_001404103.1	Scmh1	Scmh1
XM_017320253.2	Scmh1	Scmh1
NM_177570.4	Slfnl1	Slfnl1
NM_001419343.1	Slfnl1	Slfnl1
NM_016748.2	Ctps1	Ctps1
NM_001355491.1	Ctps1	Ctps1
NM_001101603.1	Gm8439	Gm8439
XR_376613.5	Gm29891	Gm29891
NM_019563.2	Cited4	Cited4
XM_011240583.2	Kcnq4	Kcnq4
XM_006503255.2	Kcnq4	Kcnq4
XM_036164285.1	Kcnq4	Kcnq4
NM_001425004.1	Kcnq4	Kcnq4
NM_001425005.1	Kcnq4	Kcnq4
NM_001425003.1	Kcnq4	Kcnq4
NM_001081142.3	Kcnq4	Kcnq4
NM_001425008.1	Kcnq4	Kcnq4
NM_001425007.1	Kcnq4	Kcnq4
NM_001425006.1	Kcnq4	Kcnq4
NR_185291.1	Nfyc	Nfyc
NR_185292.1	Nfyc	Nfyc
XR_004941831.1	Nfyc	Nfyc
NM_001048168.2	Nfyc	Nfyc
NM_001421290.1	Nfyc	Nfyc
NM_001421286.1	Nfyc	Nfyc
NM_001421279.1	Nfyc	Nfyc
NM_001277095.2	Nfyc	Nfyc
NM_001421285.1	Nfyc	Nfyc
NM_001421287.1	Nfyc	Nfyc
NM_001421291.1	Nfyc	Nfyc
NM_001421292.1	Nfyc	Nfyc
NM_001421289.1	Nfyc	Nfyc
NM_001421288.1	Nfyc	Nfyc
NM_008692.5	Nfyc	Nfyc
NM_001421282.1	Nfyc	Nfyc
NM_001421278.1	Nfyc	Nfyc
NM_001421295.1	Nfyc	Nfyc
NM_001357194.2	Nfyc	Nfyc
NM_001421293.1	Nfyc	Nfyc
NM_001421296.1	Nfyc	Nfyc
NM_001357193.2	Nfyc	Nfyc
NM_001421294.1	Nfyc	Nfyc
NM_001357192.1	Nfyc	Nfyc
XM_030253307.1	Nfyc	Nfyc
XM_036163814.1	Nfyc	Nfyc
NR_029716.1	Mir30c-1	Mir30c-1
unassigned_transcript_574	Mir30c-1	Mir30c-1
unassigned_transcript_575	Mir30c-1	Mir30c-1
NR_029602.1	Mir30e	Mir30e
unassigned_transcript_576	Mir30e	Mir30e
unassigned_transcript_577	Mir30e	Mir30e
NR_105851.1	Mir30f	Mir30f
unassigned_transcript_578	Mir30f	Mir30f
XM_006503102.1	Rims3	Rims3
NM_182929.3	Rims3	Rims3
NM_001160043.1	Exo5	Exo5
NM_028457.2	Exo5	Exo5
XM_036164209.1	Zfp69	Zfp69
XM_036164211.1	Zfp69	Zfp69
XM_036164212.1	Zfp69	Zfp69
XM_036164210.1	Zfp69	Zfp69
XM_017320292.2	Zfp69	Zfp69
XM_006503211.4	Zfp69	Zfp69
NM_001005788.3	Zfp69	Zfp69
NM_001384119.1	Zfp69	Zfp69
NM_133716.3	Smap2	Smap2
XM_006503378.4	Smap2	Smap2
XM_006503379.4	Smap2	Smap2
XM_006503380.3	Smap2	Smap2
NR_105982.1	Mir7015	Mir7015
unassigned_transcript_579	Mir7015	Mir7015
unassigned_transcript_580	Mir7015	Mir7015
NM_007741.2	Col9a2	Col9a2
XM_006503019.2	Zmpste24	Zmpste24
NM_172700.3	Zmpste24	Zmpste24
XR_004942329.1	Gm23540	Gm23540
NM_001081312.2	Tmco2	Tmco2
XM_017319915.2	Rlf	Rlf
XM_006502657.4	Rlf	Rlf
XM_006502658.2	Rlf	Rlf
XM_036163579.1	Rlf	Rlf
NM_001346660.1	Rlf	Rlf
XM_030253080.2	Rlf	Rlf
XR_376614.2	Gm30102	Gm30102
XR_868091.1	Gm30102	Gm30102
XR_376615.2	Gm30102	Gm30102
XR_868089.1	Gm40239	Gm40239
NM_001033791.3	Gm12888	Gm12888
NM_001144948.1	Gm12886	Gm12886
XM_003084588.1	Gm12880	Gm12880
XR_004942383.1	Gm26162	Gm26162
NM_001099309.1	Gm12887	Gm12887
XR_376616.2	Gm53178	Gm53178
XR_003955347.1	Gm12897	Gm12897
NM_001378656.1	Gm10573	Gm10573
XR_376617.2	Gm30405	Gm30405
NM_023865.3	9530002B09Rik	9530002B09Rik
XR_376620.2	Gm30548	Gm30548
NR_165056.1	Gm12873	Gm12873
XR_376299.5	Ppt1	Ppt1
NM_008917.3	Ppt1	Ppt1
NM_001358036.1	Cap1	Cap1
NM_007598.5	Cap1	Cap1
NM_001301067.2	Cap1	Cap1
NM_001358035.1	Cap1	Cap1
XR_004942002.1	Mfsd2a	Mfsd2a
XM_006503477.4	Mfsd2a	Mfsd2a
NM_029662.2	Mfsd2a	Mfsd2a
XM_036164528.1	Mfsd2a	Mfsd2a
XR_004942180.1	Gm54255	Gm54255
NM_001421177.1	Mycl	Mycl
NM_008506.4	Mycl	Mycl
NM_001303121.2	Mycl	Mycl
NM_001421176.1	Mycl	Mycl
XR_003954996.2	Trit1	Trit1
XR_376340.5	Trit1	Trit1
NR_151450.1	Trit1	Trit1
XM_036164355.1	Trit1	Trit1
XM_017320359.3	Trit1	Trit1
NM_025873.3	Trit1	Trit1
XR_004942181.1	Gm12923	Gm12923
XR_868093.3	Gm12923	Gm12923
XR_003955102.2	Gm46868	Gm46868
XM_011240420.2	Bmp8b	Bmp8b
NM_007559.5	Bmp8b	Bmp8b
NR_171029.1	Gm17244	Gm17244
NM_181859.3	Oxct2b	Oxct2b
XM_006503250.4	Ppie	Ppie
XM_036164253.1	Ppie	Ppie
XM_011240581.2	Ppie	Ppie
XM_030253678.2	Ppie	Ppie
NM_019489.6	Ppie	Ppie
NM_174998.4	Hpcal4	Hpcal4
XR_376310.5	Nt5c1a	Nt5c1a
XR_867850.4	Nt5c1a	Nt5c1a
NM_001085502.2	Nt5c1a	Nt5c1a
NM_013905.3	Heyl	Heyl
XR_001784423.1	Gm50623	Gm50623
XM_006503023.4	Pabpc4	Pabpc4
XM_030253447.2	Pabpc4	Pabpc4
XM_006503024.4	Pabpc4	Pabpc4
XM_036164042.1	Pabpc4	Pabpc4
XM_006503020.4	Pabpc4	Pabpc4
XM_006503022.4	Pabpc4	Pabpc4
XM_006503021.4	Pabpc4	Pabpc4
XM_030253445.2	Pabpc4	Pabpc4
XM_036164041.1	Pabpc4	Pabpc4
XM_030253444.2	Pabpc4	Pabpc4
NM_130881.3	Pabpc4	Pabpc4
NM_001356377.1	Pabpc4	Pabpc4
NM_148917.3	Pabpc4	Pabpc4
XR_004942335.1	Gm25788	Gm25788
XR_004942336.1	Gm22154	Gm22154
NM_007558.3	Bmp8a	Bmp8a
NM_001256019.1	Bmp8a	Bmp8a
NM_022033.4	Oxct2a	Oxct2a
NM_001199137.2	Macf1	Macf1
NM_001199136.2	Macf1	Macf1
NM_001401294.2	Macf1	Macf1
NM_001401293.2	Macf1	Macf1
XM_011240417.3	Macf1	Macf1
XM_030253097.2	Macf1	Macf1
XM_011240416.3	Macf1	Macf1
XM_036163593.1	Macf1	Macf1
